Tag,Count
"('sac_scale', 'hiking')",1588
"('lit', 'no')",1377
"('foot', 'yes')",1287
"('bicycle', 'no')",965
"('surface', 'dirt')",924
"('highway', 'footway')",792
"('width', '1')",678
"('highway', 'cycleway')",597
"('surface', 'gravel')",566
"('highway', 'path')",545
"('segregated', 'no')",520
"('surface', 'asphalt')",519
"('bicycle', 'yes')",442
"('trail_visibility', 'good')",400
"('name:zh', '中央集水区公园连道')",384
"('name', 'Central Catchment Park Connector')",384
"('oneway', 'no')",313
"('name', 'MacRitchie Nature Trail')",311
"('smoothness', 'good')",287
"('name:zh', '麦里芝自然小径')",285
"('trail_visibility', 'excellent')",285
"('maxspeed', '50')",283
"('lanes:forward', '1')",271
"('lanes:backward', '1')",271
"('lanes', '2')",271
"('highway', 'service')",260
"('smoothness', 'bad')",245
"('highway', 'steps')",214
"('highway', 'unclassified')",208
"('highway', 'track')",185
"('surface', 'ground')",178
"('name', 'Rifle Range Road')",148
"('name:zh', '射靶场')",148
"('name', 'Rifle Range Link')",147
"('name:zh', '射靶连接小径')",147
"('width', '2')",143
"('incline', 'down')",142
"('access', 'private')",128
"('lit', 'yes')",127
"('wheelchair', 'no')",126
"('surface', 'concrete')",125
"('incline', 'up')",117
"('smoothness', 'very_bad')",115
"('ramp', 'no')",110
"('sidewalk', 'left')",106
"('name', 'Zheng Hua Park Connector')",98
"('name:zh', '正华公园连道')",98
"('width', '3')",94
"('name:zh', '主路')",92
"('name', 'Main Road')",92
"('sidewalk', 'no')",85
"('oneway', 'yes')",80
"('cycleway:both', 'no')",79
"('tracktype', 'grade3')",79
"('name', 'Chestnut Avenue')",78
"('foot', 'designated')",74
"('name', 'Terentang Trail')",73
"('name:zh', 'Terentang 小径')",73
"('access', 'yes')",71
"('name', 'Cave Path')",69
"('name:zh', '洞穴小径')",69
"('handrail', 'yes')",68
"('name', 'Taban Loop')",66
"('name:zh', '森小径')",66
"('name', 'Sime Track')",66
"('surface', 'unpaved')",65
"('highway', 'residential')",64
"('name', 'Reneges Path')",63
"('surface:note', 'very worn out tarmac')",60
"('name:zh', '牛乳场自然公园')",60
"('name', 'Dairy Farm Nature Park')",60
"('motor_vehicle', 'private')",59
"('name', 'South View Path')",54
"('name', 'Jungle Fall Path')",54
"('tracktype', 'grade4')",51
"('bicycle', 'designated')",51
